Typical Measured Spectrum of Semrock FF695-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
608.2	0.00453
608.4	0.00431
608.6	0.00414
608.8	0.00399
609.0	0.0038
609.2	0.00368
609.4	0.00353
609.6	0.00346
609.8	0.00334
610.0	0.00328
610.2	0.00319
610.4	0.00316
610.6	0.00306
610.8	0.00303
611.0	0.00296
611.2	0.00293
611.4	0.0028
611.6	0.00274
611.8	0.00265
612.0	0.00256
612.2	0.00247
612.4	0.00239
612.6	0.00229
612.8	0.0022
613.0	0.00214
613.2	0.00205
613.4	0.002
613.6	0.00197
613.8	0.00194
614.0	0.00193
614.2	0.00198
614.4	0.00203
614.6	0.00205
614.8	0.00211
615.0	0.00221
615.2	0.00234
615.4	0.00242
615.6	0.00256
615.8	0.00273
616.0	0.0029
616.2	0.0031
616.4	0.00333
616.6	0.00361
616.8	0.00387
617.0	0.00412
617.2	0.0044
617.4	0.00467
617.6	0.00487
617.8	0.00505
618.0	0.00518
618.2	0.0053
618.4	0.00533
618.6	0.00529
618.8	0.00521
619.0	0.00508
619.2	0.00484
619.4	0.00458
619.6	0.00427
619.8	0.00398
620.0	0.00362
620.2	0.00329
620.4	0.00296
620.6	0.00266
620.8	0.00237
621.0	0.00211
621.2	0.00192
621.4	0.0017
621.6	0.00152
621.8	0.00137
622.0	0.00127
622.2	0.00115
622.4	0.00106
622.6	9.8446e-04
622.8	9.3278e-04
623.0	8.506e-04
623.2	8.0972e-04
623.4	7.3961e-04
623.6	7.2123e-04
623.8	6.933e-04
624.0	6.9233e-04
624.2	6.1947e-04
624.4	6.2123e-04
624.6	5.7974e-04
624.8	5.731e-04
625.0	5.5884e-04
625.2	5.6345e-04
625.4	5.4831e-04
625.6	5.2935e-04
625.8	5.2415e-04
626.0	5.3501e-04
626.2	4.9908e-04
626.4	5.1742e-04
626.6	5.0292e-04
626.8	5.2058e-04
627.0	5.0902e-04
627.2	4.8763e-04
627.4	4.9928e-04
627.6	5.4155e-04
627.8	5.4339e-04
628.0	5.4387e-04
628.2	5.7154e-04
628.4	5.7805e-04
628.6	5.9038e-04
628.8	6.2519e-04
629.0	6.5492e-04
629.2	6.9898e-04
629.4	7.4365e-04
629.6	7.8775e-04
629.8	8.4932e-04
630.0	9.4024e-04
630.2	0.00101
630.4	0.00111
630.6	0.00122
630.8	0.00138
631.0	0.00155
631.2	0.00173
631.4	0.00197
631.6	0.00224
631.8	0.00259
632.0	0.00295
632.2	0.00338
632.4	0.00377
632.6	0.00419
632.8	0.00462
633.0	0.00489
633.2	0.00519
633.4	0.0054
633.6	0.00555
633.8	0.00558
634.0	0.00559
634.2	0.00544
634.4	0.00523
634.6	0.00499
634.8	0.00468
635.0	0.00434
635.2	0.00396
635.4	0.00357
635.6	0.00321
635.8	0.00284
636.0	0.00256
636.2	0.00231
636.4	0.00205
636.6	0.00188
636.8	0.0017
637.0	0.00156
637.2	0.00148
637.4	0.0014
637.6	0.00132
637.8	0.00124
638.0	0.00119
638.2	0.00116
638.4	0.00112
638.6	0.00113
638.8	0.0011
639.0	0.0011
639.2	0.0011
639.4	0.00111
639.6	0.00112
639.8	0.00114
640.0	0.00115
640.2	0.00119
640.4	0.00123
640.6	0.00127
640.8	0.00132
641.0	0.00138
641.2	0.0014
641.4	0.00146
641.6	0.00151
641.8	0.00155
642.0	0.00159
642.2	0.00161
642.4	0.00165
642.6	0.00167
642.8	0.00166
643.0	0.00163
643.2	0.00165
643.4	0.00163
643.6	0.00158
643.8	0.00154
644.0	0.00149
644.2	0.00147
644.4	0.00137
644.6	0.0013
644.8	0.00123
645.0	0.00113
645.2	0.00108
645.4	0.00101
645.6	9.2007e-04
645.8	8.4964e-04
646.0	7.7057e-04
646.2	7.0944e-04
646.4	6.4378e-04
646.6	5.6239e-04
646.8	5.2429e-04
647.0	4.8086e-04
647.2	4.4255e-04
647.4	4.0919e-04
647.6	3.8218e-04
647.8	3.467e-04
648.0	3.2603e-04
648.2	3.0114e-04
648.4	2.8706e-04
648.6	2.6981e-04
648.8	2.5217e-04
649.0	2.2896e-04
649.2	2.3438e-04
649.4	2.0929e-04
649.6	2.0751e-04
649.8	2.0314e-04
650.0	2.0777e-04
650.2	1.929e-04
650.4	1.5879e-04
650.6	1.7461e-04
650.8	1.4866e-04
651.0	1.6937e-04
651.2	1.4483e-04
651.4	1.5798e-04
651.6	1.5181e-04
651.8	1.6737e-04
652.0	1.4444e-04
652.2	1.5276e-04
652.4	1.5185e-04
652.6	1.5161e-04
652.8	1.4274e-04
653.0	1.5367e-04
653.2	1.2025e-04
653.4	1.3873e-04
653.6	1.3561e-04
653.8	1.5275e-04
654.0	1.4301e-04
654.2	1.6048e-04
654.4	1.2916e-04
654.6	1.4294e-04
654.8	1.6002e-04
655.0	1.3718e-04
655.2	1.5488e-04
655.4	1.599e-04
655.6	1.6167e-04
655.8	1.57e-04
656.0	1.4132e-04
656.2	1.7302e-04
656.4	1.5594e-04
656.6	1.6079e-04
656.8	1.4863e-04
657.0	1.5666e-04
657.2	1.6727e-04
657.4	1.7386e-04
657.6	1.6676e-04
657.8	1.6897e-04
658.0	1.8997e-04
658.2	2.1096e-04
658.4	1.8124e-04
658.6	1.8714e-04
658.8	2.0066e-04
659.0	2.0663e-04
659.2	2.1138e-04
659.4	1.9724e-04
659.6	2.1499e-04
659.8	2.0701e-04
660.0	2.181e-04
660.2	1.9505e-04
660.4	2.3566e-04
660.6	2.348e-04
660.8	2.4142e-04
661.0	2.7082e-04
661.2	2.7929e-04
661.4	2.6758e-04
661.6	2.8618e-04
661.8	3.1137e-04
662.0	3.1966e-04
662.2	3.2667e-04
662.4	3.8542e-04
662.6	3.8013e-04
662.8	4.1783e-04
663.0	4.0921e-04
663.2	4.502e-04
663.4	4.883e-04
663.6	5.4033e-04
663.8	5.6708e-04
664.0	6.381e-04
664.2	6.9547e-04
664.4	7.6094e-04
664.6	8.491e-04
664.8	9.5137e-04
665.0	0.00108
665.2	0.00118
665.4	0.00133
665.6	0.00152
665.8	0.00171
666.0	0.00193
666.2	0.00214
666.4	0.00238
666.6	0.00257
666.8	0.00278
667.0	0.00302
667.2	0.00323
667.4	0.00344
667.6	0.0036
667.8	0.00374
668.0	0.00386
668.2	0.00398
668.4	0.00407
668.6	0.00409
668.8	0.00412
669.0	0.00408
669.2	0.00403
669.4	0.00394
669.6	0.00383
669.8	0.00372
670.0	0.00355
670.2	0.00336
670.4	0.00318
670.6	0.00296
670.8	0.00279
671.0	0.00258
671.2	0.0024
671.4	0.00225
671.6	0.00212
671.8	0.00198
672.0	0.00183
672.2	0.00173
672.4	0.00164
672.6	0.00156
672.8	0.00151
673.0	0.00311
673.2	0.00403
673.4	0.00402
673.6	0.00395
673.8	0.00389
674.0	0.00387
674.2	0.00388
674.4	0.00387
674.6	0.0038
674.8	0.00379
675.0	0.00379
675.2	0.00381
675.4	0.0038
675.6	0.00379
675.8	0.00381
676.0	0.00384
676.2	0.00381
676.4	0.00385
676.6	0.00385
676.8	0.00389
677.0	0.00389
677.2	0.00392
677.4	0.00397
677.6	0.00398
677.8	0.00403
678.0	0.00406
678.2	0.0041
678.4	0.00414
678.6	0.00421
678.8	0.00428
679.0	0.00432
679.2	0.00443
679.4	0.0045
679.6	0.00457
679.8	0.00467
680.0	0.00474
680.2	0.00488
680.4	0.00499
680.6	0.0051
680.8	0.00522
681.0	0.00537
681.2	0.00553
681.4	0.00573
681.6	0.00591
681.8	0.00609
682.0	0.00634
682.2	0.00656
682.4	0.00682
682.6	0.00714
682.8	0.00745
683.0	0.0078
683.2	0.00826
683.4	0.00874
683.6	0.00922
683.8	0.00974
684.0	0.01035
684.2	0.01106
684.4	0.01179
684.6	0.01261
684.8	0.01356
685.0	0.01459
685.2	0.01574
685.4	0.01712
685.6	0.0187
685.8	0.02032
686.0	0.02222
686.2	0.02434
686.4	0.02684
686.6	0.02939
686.8	0.03235
687.0	0.03586
687.2	0.03959
687.4	0.04365
687.6	0.04802
687.8	0.05295
688.0	0.05833
688.2	0.06409
688.4	0.07006
688.6	0.07672
688.8	0.08374
689.0	0.09091
689.2	0.09899
689.4	0.10703
689.6	0.11554
689.8	0.12469
690.0	0.13413
690.2	0.14351
690.4	0.15359
690.6	0.16309
690.8	0.17425
691.0	0.18459
691.2	0.19441
691.4	0.20589
691.6	0.21776
691.8	0.22972
692.0	0.24044
692.2	0.25082
692.4	0.26215
692.6	0.27235
692.8	0.28204
693.0	0.29181
693.2	0.3016
693.4	0.31137
693.6	0.32152
693.8	0.33019
694.0	0.34034
694.2	0.35003
694.4	0.3567
694.6	0.36456
694.8	0.37255
695.0	0.38078
695.2	0.39002
695.4	0.39721
695.6	0.40205
695.8	0.40716
696.0	0.41201
696.2	0.41795
696.4	0.42407
696.6	0.42837
696.8	0.43386
697.0	0.43824
697.2	0.44399
697.4	0.44689
697.6	0.44855
697.8	0.45117
698.0	0.45416
698.2	0.45559
698.4	0.45727
698.6	0.45935
698.8	0.46104
699.0	0.46253
699.2	0.46268
699.4	0.46456
699.6	0.46443
699.8	0.46487
700.0	0.46547
700.2	0.46642
700.4	0.46743
700.6	0.47095
700.8	0.47408
701.0	0.47676
701.2	0.48135
701.4	0.48574
701.6	0.49227
701.8	0.49824
702.0	0.50708
702.2	0.5173
702.4	0.52962
702.6	0.54428
702.8	0.55937
703.0	0.57666
703.2	0.59702
703.4	0.61913
703.6	0.64174
703.8	0.66755
704.0	0.69266
704.2	0.71828
704.4	0.74302
704.6	0.76867
704.8	0.79376
705.0	0.81759
705.2	0.83888
705.4	0.85731
705.6	0.87285
705.8	0.89027
706.0	0.90498
706.2	0.91696
706.4	0.92778
706.6	0.93464
706.8	0.94023
707.0	0.94524
707.2	0.95029
707.4	0.95068
707.6	0.9504
707.8	0.9502
708.0	0.94953
708.2	0.94999
708.4	0.95384
708.6	0.95112
708.8	0.94921
709.0	0.94659
709.2	0.9463
709.4	0.94643
709.6	0.94705
709.8	0.94699
710.0	0.94678
710.2	0.94586
710.4	0.94715
710.6	0.94782
710.8	0.94813
711.0	0.94562
711.2	0.94401
711.4	0.94451
711.6	0.94426
711.8	0.94491
712.0	0.94397
712.2	0.94175
712.4	0.94124
712.6	0.94174
712.8	0.9427
713.0	0.94285
713.2	0.94307
713.4	0.9464
713.6	0.94439
713.8	0.94359
714.0	0.94307
714.2	0.94388
714.4	0.94525
714.6	0.94395
714.8	0.94561
715.0	0.94627
715.2	0.94645
715.4	0.9459
715.6	0.94543
715.8	0.94471
716.0	0.94437
716.2	0.94445
716.4	0.94125
716.6	0.93979
716.8	0.93983
717.0	0.94049
717.2	0.94105
717.4	0.94257
717.6	0.94508
717.8	0.94642
718.0	0.94578
718.2	0.94462
718.4	0.94455
718.6	0.94471
718.8	0.94448
719.0	0.9461
719.2	0.94603
719.4	0.94463
719.6	0.94257
719.8	0.94265
720.0	0.94205
720.2	0.94119
720.4	0.94151
