Typical Measured Spectrum of Semrock BLP01-532R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
409.0	2.3998e-06
409.2	2.3728e-06
409.4	2.3462e-06
409.6	2.3198e-06
409.8	2.2938e-06
410.0	2.268e-06
410.2	2.2425e-06
410.4	2.2173e-06
410.6	2.1924e-06
410.8	2.1677e-06
411.0	2.1434e-06
411.2	2.1193e-06
411.4	2.0955e-06
411.6	2.0719e-06
411.8	2.049e-06
412.0	2.0426e-06
412.2	2.0362e-06
412.4	2.0299e-06
412.6	2.0236e-06
412.8	2.0172e-06
413.0	2.011e-06
413.2	2.0047e-06
413.4	1.9984e-06
413.6	1.9922e-06
413.8	1.986e-06
414.0	1.9798e-06
414.2	1.9736e-06
414.4	1.9675e-06
414.6	1.9613e-06
414.8	1.9552e-06
415.0	1.9491e-06
415.2	1.943e-06
415.4	1.9369e-06
415.6	1.9308e-06
415.8	1.9248e-06
416.0	1.9187e-06
416.2	1.9127e-06
416.4	1.9067e-06
416.6	1.9007e-06
416.8	1.8948e-06
417.0	1.8888e-06
417.2	1.8829e-06
417.4	1.877e-06
417.6	1.8711e-06
417.8	1.8652e-06
418.0	1.8565e-06
418.2	1.8459e-06
418.4	1.8354e-06
418.6	1.825e-06
418.8	1.8146e-06
419.0	1.8043e-06
419.2	1.7941e-06
419.4	1.7839e-06
419.6	1.7737e-06
419.8	1.7637e-06
420.0	1.7536e-06
420.2	1.7437e-06
420.4	1.7338e-06
420.6	1.7239e-06
420.8	1.7141e-06
421.0	1.3623e-06
421.2	7.843e-07
421.4	4.5155e-07
421.6	2.5997e-07
421.8	1.4967e-07
422.0	8.617e-08
422.2	4.961e-08
422.4	2.8562e-08
422.6	1.6444e-08
422.8	9.4673e-09
423.0	5.4506e-09
423.2	5.4368e-09
423.4	5.4231e-09
423.6	5.4094e-09
423.8	5.3957e-09
424.0	5.3821e-09
424.2	5.3685e-09
424.4	5.3549e-09
424.6	5.3414e-09
424.8	5.3279e-09
425.0	5.3144e-09
425.2	5.301e-09
425.4	5.2876e-09
425.6	5.2743e-09
425.8	5.2609e-09
426.0	5.2476e-09
426.2	6.1451e-09
426.4	7.2701e-09
426.6	8.601e-09
426.8	1.0176e-08
427.0	1.2039e-08
427.2	1.4242e-08
427.4	1.685e-08
427.6	1.9935e-08
427.8	2.3584e-08
428.0	2.7902e-08
428.2	3.301e-08
428.4	3.9053e-08
428.6	4.6202e-08
428.8	5.4661e-08
429.0	6.4667e-08
429.2	7.6506e-08
429.4	9.0512e-08
429.6	1.0708e-07
429.8	1.2669e-07
430.0	1.4988e-07
430.2	1.5584e-07
430.4	1.5248e-07
430.6	1.492e-07
430.8	1.4598e-07
431.0	1.4284e-07
431.2	1.3976e-07
431.4	1.3675e-07
431.6	1.338e-07
431.8	1.3092e-07
432.0	1.281e-07
432.2	1.2534e-07
432.4	1.2264e-07
432.6	1.2e-07
432.8	1.1742e-07
433.0	1.1489e-07
433.2	9.2754e-08
433.4	7.4886e-08
433.6	6.0459e-08
433.8	4.8812e-08
434.0	3.9409e-08
434.2	3.1817e-08
434.4	2.5687e-08
